epoch,train_loss,train_acc,val_loss,val_acc
0,0.5889134506384531,0.7066,0.8053221879182039,0.7176
1,0.41068809010364393,0.8900,0.8130684075532136,0.7176
2,0.36957551814891676,0.9433,0.8142506171155859,0.7176
3,0.338679156921528,0.9728,0.582638618018892,0.8380
4,0.3275782565275828,0.9902,0.3775183580539845,0.9398
5,0.32692757138499506,0.9861,0.39009284642007613,0.9444
6,0.3222450558786039,0.9936,0.35286011188118543,0.9769
7,0.31677732313120804,0.9983,0.3440229362911648,0.9676
8,0.31572558482487995,0.9988,0.34542067956041406,0.9676
9,0.3146932390001085,0.9994,0.3490688458636955,0.9769
10,0.3147037305213787,0.9994,0.34353154125037016,0.9722
11,0.3145446479320526,0.9994,0.3480725983778636,0.9769
12,0.3142386950828411,0.9994,0.3433927959865994,0.9769
13,0.3142202176429607,0.9994,0.3430232372548845,0.9722
14,0.3145739568604363,0.9994,0.3432543851711132,0.9722
15,0.3146814858471906,0.9994,0.3405588622446413,0.9676
16,0.31435918697604426,0.9994,0.3427142224929951,0.9722
17,0.314291387796402,0.9994,0.34419032158675017,0.9722
18,0.315718204886825,0.9983,0.3421637824288121,0.9722
19,0.3144532519358176,0.9994,0.3435539349361702,0.9722
20,0.31437055821771975,0.9994,0.3436074886057112,0.9769
21,0.3144028319252862,0.9994,0.3428138240619942,0.9722
22,0.31430477235052323,0.9994,0.3436285047619431,0.9676
23,0.31422615492785416,0.9994,0.342194362922951,0.9722
24,0.31573587987158036,0.9971,0.3428000840875838,0.9769
25,0.3145253901128416,0.9994,0.3428924017482334,0.9722
Early stopping
Training complete in 0m 47s
