epoch,train_loss,train_acc,val_loss,val_acc
0,0.6430754319385246,0.6424,0.6251160325827422,0.7593
1,0.532910498480002,0.7966,0.5152380035983192,0.8565
2,0.48535137430385306,0.8287,0.47445980266288473,0.8472
3,0.4532699797440458,0.8701,0.4656819833649529,0.8403
4,0.4365097411252834,0.8843,0.4740759101178911,0.8102
5,0.4296736755856761,0.8831,0.4240163884781025,0.8657
6,0.4085421926445431,0.9141,0.41342947549290127,0.9074
7,0.396218974005293,0.9274,0.4055940497804571,0.9213
8,0.38941567087614976,0.9329,0.4050080378850301,0.9236
9,0.3830012094091486,0.9366,0.40328639966470226,0.9259
10,0.3810813002012394,0.9395,0.4061326892287643,0.9213
11,0.3811735654318774,0.9389,0.4020820282123707,0.9352
12,0.37832893900297304,0.9470,0.403353335680785,0.9167
13,0.3800388615992334,0.9407,0.4015262458059523,0.9236
14,0.37649713263467505,0.9424,0.40260740121205646,0.9282
15,0.3718879007630878,0.9485,0.40266110830836827,0.9259
16,0.3734580984822026,0.9476,0.4042497288297724,0.9282
17,0.37747768257503156,0.9439,0.4028453561994765,0.9282
18,0.37416455922303377,0.9442,0.4021225759276637,0.9421
19,0.3748370110988617,0.9468,0.4029496897149969,0.9282
20,0.37551720799119387,0.9473,0.3987849034644939,0.9213
21,0.37380426487437,0.9523,0.40170148235780223,0.9236
22,0.37409865607817966,0.9470,0.40087278021706474,0.9352
23,0.37319975401516314,0.9476,0.40150968454502245,0.9468
24,0.37294840536735674,0.9494,0.4035561471073716,0.9282
25,0.3752748119058432,0.9444,0.39994252611089637,0.9236
26,0.3730309208234151,0.9485,0.4007407470985695,0.9213
27,0.37498397794034743,0.9482,0.40123402961978205,0.9190
28,0.3716624726851781,0.9482,0.39774442933223864,0.9306
29,0.37446734723117614,0.9468,0.39893772204717,0.9352
30,0.3734373789694574,0.9499,0.40133841390962954,0.9444
31,0.37392208973566693,0.9476,0.4002409698786559,0.9282
32,0.3713592180499324,0.9508,0.39954908357726204,0.9306
33,0.36805432317433534,0.9549,0.40226200554105973,0.9352
34,0.3710085032162843,0.9508,0.3992370598846012,0.9352
35,0.370668839249346,0.9505,0.4016951322555542,0.9444
36,0.3780869281402341,0.9410,0.3970843156178792,0.9236
37,0.3699168971291295,0.9511,0.39906902997582044,0.9190
38,0.37507078437893476,0.9450,0.4020467985559393,0.9306
39,0.3705286877574744,0.9505,0.4007677435874939,0.9352
40,0.3772315253262167,0.9485,0.4038346751972481,0.9259
41,0.3773478247501232,0.9447,0.39956930390110723,0.9236
42,0.36961880491839516,0.9528,0.4022409043930195,0.9444
43,0.37277226370793803,0.9444,0.40027778568091216,0.9282
44,0.3753844427841681,0.9459,0.3994263454719826,0.9213
45,0.37148688126493384,0.9525,0.40172135057272734,0.9375
46,0.37256445790882464,0.9523,0.4006672611942998,0.9236
Early stopping
Training complete in 1m 53s
Test Acc: 0.9213
