epoch,train_loss,train_acc,val_loss,val_acc
0,0.7636400467065149,0.7623,1.242668403854853,0.4652
1,0.6251529530633854,0.9205,0.7305739001382755,0.8576
2,0.5837585753361719,0.9648,0.5900760964502262,0.9557
3,0.580905107673881,0.9708,0.5978888801381558,0.9715
4,0.5680523860135998,0.9831,0.6194523821903181,0.9589
5,0.5692734020839428,0.9835,0.609914966021912,0.9146
6,0.5694963857426757,0.9814,0.6073596552957462,0.9652
7,0.5606299276593365,0.9909,0.5720197226427779,0.9810
8,0.5576736306674706,0.9944,0.5676141215276115,0.9873
9,0.5556931582013598,0.9954,0.5702496435068831,0.9873
10,0.553400742186105,0.9986,0.5677239585526382,0.9905
11,0.5544868974243036,0.9972,0.5648630231241637,0.9905
12,0.5536494440334926,0.9979,0.5735836640188966,0.9842
13,0.5525937329364728,0.9989,0.5670224103746535,0.9873
14,0.5530187556344581,0.9989,0.568267610254167,0.9873
15,0.5530650202399735,0.9989,0.5689175800432132,0.9873
16,0.5530509092804416,0.9986,0.5679457504538041,0.9873
17,0.55231209512166,1.0000,0.5695515908772433,0.9873
18,0.5533814310356869,0.9989,0.5661898843849762,0.9905
19,0.5532592410947368,0.9982,0.5663677069205272,0.9873
20,0.552343268686206,0.9996,0.5660869237742846,0.9905
21,0.5543142647682866,0.9982,0.5658843615387059,0.9905
Early stopping
Training complete in 1m 0s
