epoch,train_loss,train_acc,val_loss,val_acc
0,0.6104931702584396,0.6726,0.7558307184113396,0.5139
1,0.48682300433700465,0.8207,0.7991337533350344,0.5139
2,0.420774360252506,0.8948,0.7181744133984601,0.5856
3,0.3819361923898689,0.9321,0.4734398501890677,0.8310
4,0.3603548988883878,0.9555,0.4556550825083697,0.8403
5,0.3411024423783699,0.9745,0.5133523830661068,0.7708
6,0.33128315541479325,0.9841,0.4524212623084033,0.8519
7,0.32597428940451195,0.9889,0.4401589941095423,0.8634
8,0.3235595882429508,0.9913,0.4325224856535594,0.8727
9,0.3219722964390806,0.9923,0.4302741664427298,0.8773
10,0.3218580924679713,0.9931,0.4309600558545854,0.8727
11,0.32122353246673147,0.9933,0.4301367766327328,0.8866
12,0.32070264207973403,0.9933,0.4278447793589698,0.8819
13,0.3202771670779083,0.9938,0.4294216776335681,0.8796
14,0.32021041453620536,0.9938,0.4306537928404631,0.8704
15,0.3200913125595438,0.9941,0.43123516881907425,0.8773
16,0.32021210713641635,0.9938,0.43204163953110025,0.8773
17,0.31998272491580665,0.9941,0.4302911504551216,0.8866
18,0.3200575504528642,0.9938,0.4310488623601419,0.8819
19,0.3201657538551362,0.9938,0.43187705123866044,0.8727
20,0.3198493159847495,0.9941,0.43050742038974055,0.8773
21,0.3201186580913057,0.9941,0.43036852611435783,0.8796
22,0.32002054111947736,0.9941,0.43070606501014147,0.8796
Early stopping
Training complete in 1m 36s
