epoch,train_loss,train_acc,val_loss,val_acc
0,0.609512354488726,0.6834,0.8109377953741286,0.5023
1,0.5329020475899732,0.7691,0.5580185541400203,0.7384
2,0.5210017208699826,0.7798,0.5319248062592966,0.7731
3,0.4978516576466737,0.8050,0.5115436161005938,0.7940
4,0.48596143943292125,0.8192,0.639487123047864,0.6620
5,0.47672594531818674,0.8304,0.5868521023679663,0.7153
6,0.4636126635251222,0.8452,0.4770810548905973,0.8333
7,0.44245706609001867,0.8620,0.45742658663679053,0.8519
8,0.41893999720061265,0.8906,0.46451385374422427,0.8356
9,0.4118410133653217,0.8961,0.4301468045623214,0.8796
10,0.40323509496671184,0.9080,0.4391278812178859,0.8681
11,0.39836395504298033,0.9109,0.4291854445581083,0.8750
12,0.3957938540864874,0.9158,0.42403209761336996,0.8866
13,0.38885604397014334,0.9274,0.4334136700188672,0.8704
14,0.38013091683387756,0.9329,0.42334406905704075,0.8819
15,0.38102681272559696,0.9311,0.42402718354154517,0.8819
16,0.38148768798068716,0.9311,0.42385435545886,0.8819
17,0.3790411540755519,0.9343,0.4238713129802986,0.8843
18,0.380637350457686,0.9337,0.4250177266421141,0.8796
19,0.38014525285473577,0.9320,0.42439756018144115,0.8819
20,0.3799013732760041,0.9332,0.4252613948451148,0.8819
21,0.38046628291960116,0.9311,0.4247802937472308,0.8819
22,0.37857857125776784,0.9355,0.4258331369470667,0.8796
23,0.3790727897926613,0.9340,0.42465168127307185,0.8796
24,0.38001193713258813,0.9334,0.4251702880417859,0.8819
25,0.3779887358347575,0.9358,0.42517965921649226,0.8819
26,0.38006612327363754,0.9317,0.42536188165346783,0.8796
27,0.3796527992796015,0.9334,0.42428600788116455,0.8796
28,0.38163314042267976,0.9300,0.42540298126361986,0.8796
Early stopping
Training complete in 1m 36s
Test Acc: 0.8981
