epoch,train_loss,train_acc,val_loss,val_acc
0,0.7984100627520728,0.7366,1.014048890063637,0.5282
1,0.7315486313008027,0.8137,0.9393914920046813,0.6090
2,0.7196845395324025,0.8239,0.73514777825291,0.8158
3,0.6869457165400187,0.8622,0.6953790783882141,0.8515
4,0.6831378403960812,0.8638,0.7056504613474796,0.8365
5,0.6802589235050835,0.8690,0.817825554456926,0.7274
6,0.6757507422314949,0.8726,0.6857466903844274,0.8628
7,0.6563687413159071,0.8924,0.6519064643329248,0.8985
8,0.6401951183551734,0.9094,0.6421323817475397,0.9041
9,0.6321875085508016,0.9181,0.6439936869126514,0.9079
10,0.6282645831928715,0.9246,0.6351394375464073,0.9117
11,0.6253675495771537,0.9259,0.6308767217442506,0.9229
12,0.6198390450891895,0.9317,0.6268484668624132,0.9229
13,0.617020945501208,0.9338,0.6283500844374635,0.9173
14,0.6131573079423099,0.9401,0.6340301960034478,0.9135
15,0.6120036642752594,0.9396,0.631813619369851,0.9117
16,0.6120839318635569,0.9401,0.6325126819144514,0.9135
17,0.6113916021540649,0.9411,0.6312586248369145,0.9117
18,0.6149555202713586,0.9346,0.6331200393519008,0.9135
19,0.6106904760538386,0.9407,0.6338502827443575,0.9135
20,0.6094889897750434,0.9432,0.6325354266883736,0.9154
21,0.6119578178962669,0.9394,0.6351328778983956,0.9098
22,0.6101376656800782,0.9434,0.632491285639598,0.9154
Early stopping
Training complete in 2m 3s
