epoch,train_loss,train_acc,val_loss,val_acc
0,0.8104450380991376,0.7285,1.1378929883913886,0.4135
1,0.7352603114238857,0.8131,0.909218884948501,0.6316
2,0.7126149381312511,0.8358,0.7764495234740408,0.7613
3,0.7093986151809979,0.8367,0.6810749903657383,0.8665
4,0.6946658113148179,0.8534,0.7532656040406764,0.7876
5,0.67619957785459,0.8720,0.6589975473576022,0.8872
6,0.6789024621123758,0.8716,0.740411883458159,0.8026
7,0.6664917616915882,0.8816,0.6565532083798172,0.8966
8,0.6537013554831993,0.8943,0.6486017336522726,0.9004
9,0.645456928557521,0.9058,0.6382802684504286,0.9154
10,0.6414849634656532,0.9094,0.6353658679732703,0.9192
11,0.6368666181189873,0.9150,0.6358741674208104,0.9135
12,0.6364489855025346,0.9142,0.6322345245153385,0.9229
13,0.6305815288197925,0.9215,0.6355411307256025,0.9135
14,0.626579407313115,0.9248,0.6278339476513684,0.9211
15,0.6254511952599388,0.9263,0.6258103448645513,0.9248
16,0.6242692667240886,0.9254,0.6279327605003701,0.9211
17,0.6238438565729056,0.9300,0.6298305163706156,0.9211
18,0.6247019931586862,0.9275,0.6285788152450905,0.9154
19,0.6246222214790415,0.9265,0.626712593817173,0.9211
20,0.6238860232489449,0.9290,0.6288379892370755,0.9229
21,0.6239952532171505,0.9279,0.6274319734788478,0.9211
22,0.6230344811178986,0.9294,0.6305349563297472,0.9135
23,0.6225073597484961,0.9307,0.6283237571106818,0.9229
24,0.62527695036771,0.9244,0.6287102071862471,0.9211
25,0.622920504737717,0.9290,0.6278483867645264,0.9229
26,0.6247041233898504,0.9269,0.627437246473212,0.9211
Early stopping
Training complete in 1m 56s
