epoch,train_loss,train_acc,val_loss,val_acc
0,0.7528645294152804,0.7467,1.1761140590323542,0.4417
1,0.6815401901278579,0.8369,0.707311251109704,0.8120
2,0.6592817546032624,0.8661,0.6953167771934566,0.8327
3,0.6225207762212284,0.9133,0.7199076109362724,0.7895
4,0.6166892161245832,0.9204,0.6574522467484152,0.8759
5,0.5933153142805585,0.9488,0.657387659962016,0.8759
6,0.5893080762354852,0.9538,0.6573764847633534,0.8665
7,0.5688838264597588,0.9806,0.636336932953139,0.9004
8,0.5628647091195498,0.9877,0.6359409040078184,0.8947
9,0.5618329901643465,0.9893,0.6411021710338449,0.8835
10,0.5598390685486216,0.9919,0.6372224805050326,0.9060
11,0.5579797644961747,0.9929,0.6376362797012902,0.8947
12,0.5573615536853086,0.9939,0.6364569453368509,0.8985
13,0.5573910019650694,0.9942,0.6375541099928376,0.8947
14,0.5568009566145333,0.9946,0.6350872104329274,0.9004
15,0.5566375469205374,0.9948,0.6356715066988665,0.9023
16,0.5568343815249808,0.9946,0.6367764638778859,0.9023
17,0.5563921092347294,0.9954,0.6350380374972981,0.9060
18,0.5564555119950272,0.9946,0.6372139964784894,0.9023
19,0.5565935731332503,0.9948,0.6348528404881183,0.8985
20,0.5561635085912974,0.9954,0.6367388918883818,0.8966
21,0.5563488991537389,0.9954,0.6353760693306313,0.9041
22,0.5563006430441076,0.9952,0.6363838902093414,0.9004
23,0.556367209979466,0.9950,0.6361407848229086,0.8985
24,0.5562683849804781,0.9954,0.6359174448744696,0.9004
25,0.5560099022430286,0.9954,0.6383824635269051,0.8910
26,0.5563743225514342,0.9952,0.6369725196881402,0.9004
27,0.5559611074508183,0.9956,0.6367478957749847,0.8985
28,0.5560165251307221,0.9952,0.6360070696450714,0.9004
29,0.5564302344469598,0.9954,0.6351636504768429,0.9023
30,0.5563402487620176,0.9954,0.6340702019239727,0.9023
31,0.5564726870460319,0.9956,0.637665013173469,0.8985
32,0.5559044745731274,0.9956,0.6359384606655379,0.9023
33,0.5562344421519771,0.9954,0.6373163972582135,0.8947
34,0.5564239157570733,0.9950,0.638455155200528,0.8985
35,0.5558712576564989,0.9962,0.6365986703930044,0.9004
36,0.5557376864858737,0.9956,0.6403493401699496,0.8910
37,0.5557123867292253,0.9960,0.6357215190292301,0.8985
38,0.5557745400327588,0.9958,0.6368468686154014,0.9023
39,0.5566936396715934,0.9944,0.6378083488994971,0.8966
40,0.5566823091622483,0.9950,0.6366277740413981,0.9004
Early stopping
Training complete in 5m 34s
